owner,repo,downstream_cnt
hemangjoshi37a,TrendMaster,0
MikeWangWZHL,Solo-Performance-Prompting,0
Fugaku-LLM,DeepSpeedFugaku,0
TrackingLaboratory,tracklab,0
javyduck,ChatScene,0
,lllyasvielLayerDiffuseDiffusersCLI,0
facebookresearch,ssl-data-curation,0
I2-Multimedia-Lab,CDFormer,0
yinjunbo,IS-Fusion,0
lrzjason,T2ITrainer,0
multimodal-art-projection,MAP-NEO,0
samar-khanna,DiffusionSat,0
siyuanliii,masa,0
hrnoh24,stream-vc,0
mit-han-lab,Quest,0
JiarunLiu,Swin-UMamba,0
myscience,x-lstm,0
okaris,omni-zero,0
ttxskk,AiOS,0
SoccerNet,sn-gamestate,0
alexstoken,image-matching-models,0
nxNull,DownEdit,0
SHI-Labs,CuMo,0
Event-AHU,OpenPAR,0
mdipietro09,GenerativeAI,0
mustafaaljadery,gemma-2B-10M,0
abeleinin,gp-navigation,0
Siddhant-Goswami,100x-LLM,0
CodingWithLewis,MemeGenerator,0
chrisociepa,allamo,0
bhyang,diffusion-es,0
xinghaochen,SLAB,0
KingNish24,OpenGPT-4o,0
zhaohengyuan1,Genixer,0
agiresearch,Formal-LLM,0
EDiRobotics,GR1-Training,0
instantX-research,InstantID,0
chenyme,Chenyme-AAVT,0
samxuxiang,BrepGen,0
NevermindNilas,TheAnimeScripter,0
THUDM,CogVLM2,0
xiph,opus,0
,TinyLLaVATinyLLaVAFactory,0
alexfazio,viral-clips-crew,0
sumo43,loopvlm,0
facebookresearch,FixRes,0
weify627,4D-Rotor-Gaussians,0
THUDM,LongAlign,0
,Event-AHUMedicalImageAnalysis,0
wangtz19,NetMamba,0
rmusser01,tldw,0
naklecha,llama3-from-scratch,0
ExponentialML,AnimateDiff-MotionDirector,0
xlang-ai,OSWorld,0
mv-lab,InstructIR,0
minyoungg,platonic-rep,0
RLHF-V,RLAIF-V,0
bin123apple,AutoCoder,0
zjp-shadow,CharacterGen,0
NVIDIA,audio-flamingo,0
TIGER-AI-Lab,MMLU-Pro,0
eloialonso,diamond,0
XiaoBuL,CM-UNet,0
YifanXu74,Libra,0
avilliai,Manyana,0
bytedance,decoupleQ,0
mit-han-lab,TinyChatEngine,0
sigopt,sigopt-examples,0
modelscope,FunClip,0
ai4protein,ProSST,0
LeapLabTHU,ExpeL,0
magic-research,piecewise-rectified-flow,0
OpenSenseNova,piccolo-embedding,0
wenhao728,awesome-diffusion-v2v,0
explainingai-code,StableDiffusion-PyTorch,0
OpenBMB,MiniCPM-o,0
chenziwenhaoshuai,Vision-KAN,0
huangjia2019,ai-agents,0
MarkFzp,humanplus,0
NVIDIA,ChatRTX,0
ReproModel,repromodel,0
YHYHYHYHYHY,ATFNet,0
BinNong,meet-libai,0
LucaOne,LucaOne,0
nicknochnack,MLTradingBot,0
AntonioTepsich,Convolutional-KANs,0
AnswerDotAI,ModernBERT,0
nkasmanoff,pi-card,0
treygrainger,ai-powered-search,0
,tangankefusionbench,0
CUHK-AIM-Group,EndoGaussian,0
beeevita,EvoPrompt,0
scaleapi,llm-engine,0
yuehaowang,bilarf,0
honeyandme,RAGQnASystem,0
aws-samples,bedrock-claude-chat,0
czg1225,AsyncDiff,0
gomate-community,rageval,0
Veason-silverbullet,ViTLP,0
henry123-boy,SpaTracker,0
rasbt,pycon2024,0
RUCKBReasoning,TableLLM,0
CaraJ7,CoMat,0
yfeng95,PoseGPT,0
ML-GSAI,MicroDreamer,0
,HowieMaDeepSORTYOLOv5Pytorch,0
run-house,runhouse,0
ModelCloud,GPTQModel,0
ykhli,AI-RPi-detection,0
thu-nics,MoA,0
wutaiqiang,MoSLoRA,0
facebookresearch,r3m,0
Dai-Wenxun,MotionLCM,0
ToTheBeginning,PuLID,0
,ZFTurboclassificationmodels3D,0
prometheus-eval,prometheus-eval,0
NexaAI,octopus-v4,0
wzzheng,GenAD,0
theEricMa,DiffSpeaker,0
cosmicman-cvpr2024,CosmicMan,0
riiswa,kanrl,0
ForMyCat,SparseGS,0
paulengstler,invisible-stitch,0
QitaoZhao,PoseFormerV2,0
,ZFTurbosegmentationmodels3D,0
Blealtan,efficient-kan,0
AdityaNG,kan-gpt,0
AutoSurveys,AutoSurvey,0
QWTforGithub,PUDM,0
HasnainRaz,Fast-SRGAN,0
SamKhoze,ComfyUI-DeepFuze,0
yzGuu830,efficient-speech-codec,0
cristianleoo,models-from-scratch-python,0
BAAI-DCAI,M3D,0
basetenlabs,truss-examples,0
Mohamedelrefaie,DrivAerNet,0
,stay-leaveenhancellm,0
PhoenixZ810,MG-LLaVA,0
X-PLUG,mPLUG-DocOwl,0
CreamyLong,stable-diffusion,0
tau-yihouxiang,X-Ray,0
huwprosser,jarvis-mlx,0
ggjy,DeLVM,0
datawhalechina,tiny-universe,0
YuDeng,Portrait-4D,0
alexeygrigorev,llm-rag-workshop,0
cohere-ai,cohere-toolkit,0
EricLBuehler,xlora,0
DigiRL-agent,digirl,0
PKU-Alignment,aligner,0
bigcode-project,selfcodealign,0
deepmodeling,Uni-Mol,0
naver-ai,egtr,0
TemryL,ComfyUI-IDM-VTON,0
facebookresearch,open-eqa,0
,xhinkersdembed,0
TimSong412,2D-surfel-gaussian,0
ymcui,Chinese-LLaMA-Alpaca-3,0
AnswerDotAI,cold-compress,0
Stability-AI,stable-audio-metrics,0
time-series-foundation-models,lag-llama,0
facebookresearch,advprompter,0
tlc-pack,relax,0
AIFSH,ComfyUI-MimicBrush,0
Indoxer,LKAN,0
huridocs,pdf-document-layout-analysis,0
aim-uofa,FreeCustom,0
pytorch,xla,0
haidog-yaqub,DiffPitcher,0
Orange-OpenSource,Cool-Chic,0
,KTH-RPLneuralgraphmapping,0
SwanHubX,SwanLab,0
lks-ai,ComfyUI-StableAudioSampler,0
facebookresearch,LayerSkip,0
Seagate,cortx,0
MatX-inc,seqax,0
mazurowski-lab,segmentation-guided-diffusion,0
cohere-ai,magikarp,0
Zeying-Gong,PatchMixer,0
TencentARC,SEED-Voken,0
niki-amini-naieni,CountGD,0
alexmolas,microsearch,0
fyyakaxyy,AnimationGPT,0
georgian-io,Knowledge-Distillation-Toolkit,0
zeng-yifei,STAG4D,0
HazyResearch,eclair-agents,0
google-research,omniglue,0
NJU-LHRS,LHRS-Bot,0
NVIDIA,TensorRT-Model-Optimizer,0
mit-han-lab,omniserve,0
BiuYeaf,A-general-framework-to-Prompt-tuning-LLM-model,0
mit-han-lab,deepcompressor,0
lllyasviel,IC-Light,0
ID-Animator,ID-Animator,0
huanngzh,Parts2Whole,0
gkamradt,langchain-tutorials,0
bentrevett,pytorch-sentiment-analysis,0
