owner,repo,downstream_cnt
OATML-Markslab,ProteinGym,0
fudan-zvg,tet-splatting,0
akatz-ai,ComfyUI-Depthflow-Nodes,0
TIGER-AI-Lab,VLM2Vec,0
,NirDiamantPromptEngineering,0
IAAR-Shanghai,Meta-Chunking,0
OutofAi,OutofFocus,0
THUDM,CogView4,0
wenet-e2e,wesep,0
luca-medeiros,lang-segment-anything,0
THUDM,VisualAgentBench,0
thoddnn,ComfyUI-MLX,0
0xD4rky,Vision-Transformers,0
bbruceyuan,Hands-On-Large-Language-Models-CN,0
horus-ai-labs,DistillFlow,0
ente-io,ente,0
katanemo,archgw,0
TC-Zheng,ActuosusAI,0
princeton-nlp,ProLong,0
Fincept-Corporation,FinceptTerminal,0
GAIR-NLP,ProX,0
LiheYoung,UniMatch-V2,0
mrflogs,LoRA-Pro,0
cremebrule,digital-cousins,0
jingyaogong,minimind-v,0
NullMagic2,SoftWhisper,0
Shenyi-Z,ToCa,0
TermuxHackz,X-osint,0
BICLab,SpikeYOLO,0
,v3ucnCosyVoiceForWindows,0
aiola-lab,whisper-ner,0
CY-CHENYUE,ComfyUI-Molmo,0
,SanshruthRCCTVYOLO,0
eric-ai-lab,swap-anything,0
hduchat,KB-Builder,0
TaoHuUMD,StructLDM,0
xerrors,Yuxi-Know,0
microsoft,nnscaler,0
Czi24,Awesome-MLLM-LLM-Colab,0
baaivision,Emu3,0
,tgf123YOLOv8improve,0
RodinHD,RodinHD,0
lucidrains,MIMO-pytorch,0
liruiw,HPT,0
facebookresearch,efm3d,0
MIT-SPARK,Clio,0
,OpenRobotLabGrounded3D-LLM,0
ewrfcas,MVInpainter,0
atonderski,neuro-ncap,0
PromtEngineer,localGPT-Vision,0
yeates,PromptFix,0
w-okada,ttsclient,0
UCSC-VLAA,story-adapter,0
tylerprogramming,ai,0
TheDatumOrg,TSB-AD,0
QingFei1,LongRAG,0
MolecularAI,QSARtuna,0
anordin95,run-llama-locally,0
xjdr-alt,entropix,0
redis-developer,redis-arXiv-search,0
,slashmlamdinference,0
yaoxunji,gen-se,0
McGill-NLP,VinePPO,0
pengzhendong,streaming-sensevoice,0
apple,ml-depth-pro,0
YihongDong,FAN,0
dimonier,tg2obsidian,0
IsaacRe,vllm-kvcompress,0
Wangyixinxin,MMedAgent,0
lamm-mit,PRefLexOR,0
nethermanpro,transvip,0
CyberOrigin2077,Cyber,0
Shilin-LU,VINE,0
guoriyue,LangCommand,0
Evil0ctal,Fast-Powerful-Whisper-AI-Services-API,0
fairlearn,fairlearn,0
google-deepmind,synthid-text,0
SinatrasC,entropix-smollm,0
zeroth-robotics,zeroth-bot,0
fw-ai,cookbook,0
thuml,TimeXer,0
VectorSpaceLab,OmniGen,0
EnVision-Research,MotionInversion,0
DAMO-NLP-SG,Inf-CLIP,0
dmlguq456,SepReformer,0
carlosferrazza,BodyTransformer,0
SWivid,F5-TTS,0
ai25395,FMatPix,0
openreasoner,openr,0
intel,intel-xpu-backend-for-triton,0
rohitgandikota,erasing,0
aws-samples,AWS-First-GenAI-Journey,0
IBM,materials,0
PKU-EPIC,GAPartNet,0
chengzeyi,ParaAttention,0
facebookresearch,optimizers,0
xiaofeiyu0723,ExVR,0
THUDM,GLM-4-Voice,0
tsinghua-fib-lab,AgentSquare,0
,young-howDQN-based-UAV-3Dpathplaner,0
microsoft,OmniParser,0
muhammadanas0716,Machine-Learning-101,0
rese1f,MovieChat,0
EnVision-Research,DisEnvisioner,0
xszyou,Fay,0
akatz-ai,ComfyUI-DepthCrafter-Nodes,0
lucas-ventura,CoVR,0
EdwardChasel,Spatial-Mamba,0
Adlith,MoE-Jetpack,0
xyfJASON,ctrlora,0
rhymes-ai,Aria,0
,smthemexComfyUISapiens,0
facebookresearch,co-tracker,0
opendatalab,LOKI,0
Bjarten,early-stopping-pytorch,0
LeCAR-Lab,anycar,0
THUDM,ReST-MCTS,0
alibaba,Tora,0
Yukun-Huang,DreamWaltz-G,0
joshpocock,Stride-AI-Agents,0
megvii-research,megactor,0
damo-cv,RealisDance,0
opendatalab,DocLayout-YOLO,0
OpenBMB,VisRAG,0
MiscellaneousStuff,anterion,0
Everlyn-Labs,ANTRP,0
Everlyn-Labs,Everlyn-1,0
Nightmare-n,DepthAnyVideo,0
WePOINTS,WePOINTS,0
FennelFetish,qapyq,0
albertan017,LLM4Decompile,0
Reason-Wang,ToolGen,0
ScalingIntelligence,Archon,0
Henry-23,VideoChat,0
Luffy03,Large-Scale-Medical,0
Mark12Ding,SAM2Long,0
instantX-research,InstantIR,0
nv-morpheus,Morpheus,0
metauto-ai,agent-as-a-judge,0
ruikangliu,FlatQuant,0
lmstudio-ai,mlx-engine,0
Junyi42,monst3r,0
daswer123,xtts-finetune-webui,0
junjiehe96,UniPortrait,0
gpt-omni,mini-omni2,0
tsinghua-fib-lab,EmbodiedCity,0
Tele-AI,TeleChat2,0
dle666,R-CoT,0
,VikhrModelseffectivellmalignment,0
opendilab,CleanS2S,0
tegnike,aituber-server,0
DreamScene-Project,DreamScene,0
xlite-dev,CUDA-Learn-Notes,0
mayuelala,FollowYourCanvas,0
DulyHao,AlphaForge,0
OpenInterpreter,01,0
lucidrains,genie2-pytorch,0
zhenye234,xcodec,0
VisionRush,DeepFakeDefenders,0
rainmaker22,SMART,0
data-prep-kit,data-prep-kit,0
NVlabs,EAGLE,0
Picsart-AI-Research,StreamingT2V,0
Coder-Yu,SELFRec,0
,QwenLM,0
,scutcyr,0
ziyc,drivestudio,0
ZiyuGuo99,SAM2Point,0
jishengpeng,WavTokenizer,0
Drexubery,ViewCrafter,0
Costwen,Ouroboros3D,0
potpie-ai,potpie,0
Cornell-RelaxML,qtip,0
apple,ml-sigmoid-attention,0
Hsu1023,DuQuant,0
zhangfaen,finetune-Qwen2-VL,0
ShenhanQian,VHAP,0
bosch-aisecurity-aishield,watchtower,0
PJLab-ADG,DriveArena,0
niledatabase,niledatabase,0
claudiom4sir,StableVSR,0
IntelLabs,RAG-FiT,0
qubvel-org,segmentation,0
zju3dv,GVHMR,0
irom-princeton,dppo,0
,bronyayangLawofVisionRepresentationinMLLMs,0
Plachtaa,seed-vc,0
Linwei-Chen,FreqFusion,0
instantX-research,CSGO,0
lmarena,arena-hard-auto,0
Caiyun-AI,DCFormer,0
Infini-AI-Lab,MagicDec,0
Stability-AI,stable-fast-3d,0
jingyaogong,minimind,0
octree-nn,octfusion,0
linkedin,Liger-Kernel,0
fletcherjiang,LLMEPET,0
facebookresearch,sapiens,0
splunk,DECEIVE,0
OpenGVLab,OmniCorpus,0
TrickyGo,Pano2Room,0
showlab,Show-o,0
GradientSpaces,LoopSplat,0
oracle-samples,oci-data-science-ai-samples,0
dynamic-X-LAB,PhotoPoster,0
xubuvd,LLMs,0
microsoft,VPTQ,0
LambdaLabsML,distributed-training-guide,0
InternLandMark,FlashGS,0
Lizonghang,TPI-LLM,0
mllam,neural-lam,0
recodehive,machine-learning-repos,0
lxa9867,ControlVAR,0
BatuhanYilmaz26,Auto-Subtitled-Video-Generator,0
MikeBirdTech,ai-toolkit,0
NIRVANALAN,LN3Diff,0
,dagthomascomfyuidagthomas,0
,andyrdtrefusaldirection,0
wyhuai,SkillMimic,0
xorbitsai,inference,0
jnjaby,KEEP,0
bboylyg,BackdoorLLM,0
apple,ml-slowfast-llava,0
anhnh2002,XTTSv2-Finetuning-for-New-Languages,0
,yvann-baComfyUIYvann-Nodes,0
Stable-X,StableDelight,0
cmu-sei,GHOSTS,0
GengzeZhou,NavGPT-2,0
XLabs-AI,deforum-x-flux,0
gongminmin,KlayGE,0
btsmart,splatt3r,0
neuml,rag,0
fudan-generative-vision,dynamicPDB,0
okaris,omni-zero-couples,0
sczhou,Upscale-A-Video,0
opea-project,GenAIExamples,0
Aria-K-Alethia,BigCodec,0
leomorpho,goship,0
shun-liang,yt2doc,0
SALT-NLP,demonstrated-feedback,0
jina-ai,late-chunking,0
Priler,samurai,0
aigc-apps,VideoX-Fun,0
FreedomIntelligence,LongLLaVA,0
xlang-ai,Spider2,0
GiilDe,turbo-edit,0
run-ai,runai-model-streamer,0
Ligo-Biosciences,AlphaFold3,0
NVIDIA,bionemo-framework,0
,ed-donnerllmengineering,0
HandsOnLLM,Hands-On-Large-Language-Models,0
LYX0501,InstructNav,0
devalab,DeepPocket,0
Nasdin,ReinforcementLearning-AtariGame,0
,nico-bohlingeronepolicytorunthemall,0
Oryx-mllm,Oryx,0
gpustack,gpustack,0
ArcticHare105,S3Diff,0
alibaba,TorchEasyRec,0
AIRI-Institute,HairFastGAN,0
VisualComputingInstitute,diffusion-e2e-ft,0
Refound-445,nonebot-plugin-nailongremove,0
stevenlsw,physgen,0
LetterLiGo,SafeEar,0
Classiq,classiq-library,0
facebookresearch,CRAG,0
ivcylc,OpenMusic,0
adithya-s-k,marker-api,0
rsrohan99,Llama-Researcher,0
XJF2332,GOT-OCR-2-GUI,0
jgravelle,GroqCasters,0
hanyangyu1021,LMGaussian,0
microsoft,PubSec-Info-Assistant,0
,mehranshakaramiAISpectrum,0
wwbin2017,bailing,0
xuanjixiao,onerec,0
barun-saha,slide-deck-ai,0
Upper9527,GeReA,0
HengyiWang,spann3r,0
,AARG-FANYoloforWukong,0
,bilibili,0
lamm-mit,SciAgentsDiscovery,0
SOTAMak1r,GVGEN,0
WangHelin1997,SSR-Speech,0
llm-merging,LLM-Merging,0
,benman1generativeaiwithlangchain,0
Positron-Networks,robbie-examples,0
interactive-3d,interactive3d,0
cvg,GeoCalib,0
skirdey,voicerestore,0
KellerJordan,modded-nanogpt,0
omeryusufyagci,fast-music-remover,0
PragmaticMachineLearning,docai,0
xuanyuzhang21,EditGuard,0
haritheja-e,robot-utility-models,0
misyaguziya,VRCT,0
sjtuplayer,SaRA,0
aws-samples,aws-healthcare-lifescience-ai-ml-sample-notebooks,0
Tencent,DepthCrafter,0
ZGC-LLM-Safety,TrafficLLM,0
JinjieNi,MixEval,0
zzaebok,KGCN-pytorch,0
Huage001,LinFusion,0
bytedance,ABQ-LLM,0
microsoft,eureka-ml-insights,0
adobe-research,MagicFixup,0
CausalLearning,MultiRobustness,0
CausalLearning,ReAct,0
zh320,realtime-semantic-segmentation-pytorch,0
CausalLearning,SE-GAN,0
CausalLearning,LPA3,0
CausalLearning,robust-unlearnable-examples,0
,CausalLearning2022NeurIPSPICMM,0
CausalLearning,EST,0
FunAudioLLM,CosyVoice,0
